id,name,polling_district_id,created_on,updated_on
0,"NA",0,"2011/08/01 10:11:00","2011/08/01 10:11:00"
4,"BEACON COMMUNITY CENTRE",4,"2011/08/01 10:11:00","2011/08/01 10:11:00"
5,"BRIMMOND SCHOOL",5,"2011/08/01 10:11:00","2011/08/01 10:11:00"
7,"NEW LIFE INTERNATIONAL CHURCH,7",7,"2011/08/01 10:11:00","2011/08/01 10:11:00"
