id,bitmask,title,created_on,updated_on
1,2,user,2011/08/01 10:11:00,2011/08/01 10:11:00
2,4,polling station inspector,2011/08/01 10:11:00,2011/08/01 10:11:00
3,8,full dashboard user,2011/08/01 10:11:00,2011/08/01 10:11:00
4,8,overview dashboard user,2011/08/01 10:11:00,2011/08/01 10:11:00
